ID,date,var3,state,type,group,location,var6,var7
478374129,2014-02-21 00:00:00,-5523738232858020000,CA,1,production,SAN FRANCISCO-OAK-SAN JOSE,1819,10
586773529,2014-12-14 00:00:00,6130945824145480000,CA,2,production,SAN DIEGO,777,9
478072087,2014-02-02 00:00:00,-6412930927419320000,PA,3,production,PHILADELPHIA,1915,9
581571735,2014-04-12 00:00:00,-6268935348119510000,NY,4,production,NEW YORK,3855,9
584191771,2014-08-22 00:00:00,6031520308882290000,IL,5,production,CHICAGO,6750,15
587866083,2015-01-30 00:00:00,3809687958580200000,CT,6,production,HARTFORD & NEW HAVEN,1989,7
588787699,2015-02-15 00:00:00,3844011336622610000,WA,7,production,SEATTLE-TACOMA,5621,17
477910115,2014-01-23 00:00:00,5687430121289800000,IL,8,production,CHICAGO,10652,10
587579753,2015-01-18 00:00:00,8413333578602770000,TX,9,production,HOUSTON,2466,18
584963227,2014-09-24 00:00:00,3219444670833850000,CA,1,production,LOS ANGELES,12263,12
585638849,2014-10-25 00:00:00,-3647119537804190000,FL,2,production,MIAMI-FT. LAUDERDALE,8392,19
587547743,2015-01-17 00:00:00,6560411821824000000,NJ,3,production,NEW YORK,1094,14
582938115,2014-06-27 00:00:00,-887435864874495000,CA,4,production,SAN FRANCISCO-OAK-SAN JOSE,6967,14
587181095,2014-12-31 00:00:00,-6438737082175450000,CA,5,production,LOS ANGELES,4586,17
583691999,2014-07-31 00:00:00,7079891361297660000,MD,6,production,WASHINGTON. DC (HAGRSTWN),12688,22
588823833,2015-02-17 00:00:00,-5571907340352080000,TX,7,production,AUSTIN,8847,26
581769381,2014-04-23 00:00:00,8182307901488970000,WA,8,production,SEATTLE-TACOMA,3952,22
585386935,2014-10-13 00:00:00,-3817947542029860000,TX,9,production,HOUSTON,12319,26
582585449,2014-06-09 00:00:00,730281402257234000,FL,1,production,TAMPA-ST. PETE (SARASOTA),13671,22
582101111,2014-05-14 00:00:00,-383562079467814000,CA,2,production,LOS ANGELES,25095,28
583755819,2014-08-03 00:00:00,-256667936663720000,CA,3,production,LOS ANGELES,24537,23
588648719,2015-02-11 00:00:00,308682451646514000,NY,4,production,NEW YORK,22855,30
589188235,2015-03-02 00:00:00,8532684653446190000,VA,1,production,WASHINGTON. DC (HAGRSTWN),7744,27
585600727,2014-10-23 00:00:00,-5883573926549530000,VA,2,production,WASHINGTON. DC (HAGRSTWN),12157,31
580276143,2014-03-22 00:00:00,8021101995491140000,PA,3,production,PHILADELPHIA,4263,35
584368175,2014-08-29 00:00:00,-5846563436972550000,CA,4,production,LOS ANGELES,8161,28
584873991,2014-09-20 00:00:00,795535304887386000,CA,5,production,LOS ANGELES,6725,31
586078955,2014-11-13 00:00:00,-8992996716670710000,CA,6,production,LOS ANGELES,25488,33
584965863,2014-09-24 00:00:00,6761177936137590000,NJ,7,production,NEW YORK,18646,37
478086087,2014-02-03 00:00:00,5779584159674090000,VA,8,production,WASHINGTON. DC (HAGRSTWN),25,33
586755729,2014-12-13 00:00:00,-3808489431130860000,NJ,9,production,NEW YORK,40982,33
581978405,2014-05-06 00:00:00,6209422379349620000,CA,1,production,LOS ANGELES,43307,40
478196823,2014-02-10 00:00:00,-6524364516374580000,NJ,2,production,NEW YORK,14560,41
585854697,2014-11-03 00:00:00,-9021193529761920000,CA,3,production,SAN DIEGO,20881,36
581763255,2014-04-23 00:00:00,9067443624065680000,CA,4,production,SACRAMNTO-STKTON-MODESTO,4315,35
586126601,2014-11-15 00:00:00,-5151077101507480000,NJ,5,production,NEW YORK,32645,44
479164901,2014-03-16 00:00:00,5358857487480990000,NC,6,production,RALEIGH-DURHAM (FAYETVLLE),37699,41
583727411,2014-08-01 00:00:00,102663956520702000,OH,7,production,CLEVELAND-AKRON (CANTON),34196,44
589192483,2015-03-02 00:00:00,6809300859588370000,CA,8,production,SAN DIEGO,44474,43
585508005,2014-10-19 00:00:00,5393152180323790000,CA,9,production,LOS ANGELES,58242,47
478011383,2014-01-29 00:00:00,-4372148421082670000,CA,1,production,SAN DIEGO,38917,44
581371099,2014-03-31 00:00:00,-1807069236613740000,CA,2,production,LOS ANGELES,26748,52
589075067,2015-02-26 00:00:00,6810114181707540000,MA,3,production,BOSTON (MANCHESTER),24805,49
583135649,2014-07-05 00:00:00,9034366027206640000,FL,4,production,TAMPA-ST. PETE (SARASOTA),40276,47
581559159,2014-04-11 00:00:00,8002367577996050000,CA,5,production,LOS ANGELES,54840,53
585698441,2014-10-27 00:00:00,-4102893771637250000,PA,6,production,PHILADELPHIA,24955,55
583363601,2014-07-16 00:00:00,7529048708479010000,CO,7,production,DENVER,10430,56
585187273,2014-10-04 00:00:00,1676715168038870000,NY,8,production,ROCHESTER. NY,23982,55
581746827,2014-04-22 00:00:00,-8886477930375440000,NJ,9,production,NEW YORK,63637,55
581715371,2014-04-21 00:00:00,1402127686364560000,NY,1,production,NEW YORK,72749,54
582195781,2014-05-19 00:00:00,-6846648543717580000,MA,2,production,BOSTON (MANCHESTER),47642,53
477956881,2014-01-26 00:00:00,-7578467165988440000,FL,3,production,MIAMI-FT. LAUDERDALE,97545,57
586525485,2014-12-02 00:00:00,740457205747172000,TX,4,production,DALLAS-FT. WORTH,291,56
584895157,2014-09-21 00:00:00,5781003421931700000,TN,5,production,MEMPHIS,23838,63
476650979,2013-11-08 00:00:00,4731710900784070000,CA,6,production,SAN FRANCISCO-OAK-SAN JOSE,2828,64
476027209,2013-09-28 00:00:00,-6982842145306990000,OH,7,production,COLUMBUS. OH,75243,65
585473037,2014-10-17 00:00:00,-3395055217300370000,NJ,1,production,NEW YORK,58,58
585667313,2014-10-26 00:00:00,-495110576742928000,MD,2,production,WASHINGTON. DC (HAGRSTWN),1733,59
478217139,2014-02-11 00:00:00,1715010783722480000,CA,3,testing,LOS ANGELES,53012,63
585453825,2014-10-16 00:00:00,-6979825484861770000,CA,4,testing,LOS ANGELES,105337,69
587867753,2015-01-30 00:00:00,-2608889188184600000,MA,5,testing,BOSTON (MANCHESTER),114449,69
478332081,2014-02-18 00:00:00,8317298074905140000,MD,1,testing,BALTIMORE,152121,70
587677089,2015-01-21 00:00:00,-4130910021520310000,LA,2,testing,NEW ORLEANS,63861,68
582944569,2014-06-27 00:00:00,-8223958077394040000,NC,3,testing,RALEIGH-DURHAM (FAYETVLLE),85759,67
584590921,2014-09-07 00:00:00,-3387743991307890000,WA,4,testing,SEATTLE-TACOMA,79998,66
583008559,2014-06-30 00:00:00,-2141048848569560000,PA,5,testing,WILKES BARRE-SCRANTON-HZTN,159226,71
584619149,2014-09-08 00:00:00,-3243157051201460000,IL,6,testing,CHICAGO,47848,73
584865085,2014-09-20 00:00:00,-3811097756803850000,NJ,7,testing,NEW YORK,46506,73
585306587,2014-10-10 00:00:00,4159742956152480000,PA,8,testing,PHILADELPHIA,70987,73
582653619,2014-06-12 00:00:00,-1378271847266140000,MO,9,testing,ST. LOUIS,115974,79
581768911,2014-04-23 00:00:00,876229975953936000,IL,1,testing,CHICAGO,87160,79
584361147,2014-08-29 00:00:00,-5757928260801990000,MA,2,testing,BOSTON (MANCHESTER),31195,80
583246325,2014-07-11 00:00:00,-6055777031054040000,NJ,3,testing,NEW YORK,130304,75
581849663,2014-04-28 00:00:00,4432218013664950000,CA,4,testing,LOS ANGELES,114569,77
583539413,2014-07-24 00:00:00,5134091965154920000,FL,1,testing,MIAMI-FT. LAUDERDALE,72101,81
479218923,2014-03-16 00:00:00,5630075000778040000,CA,2,testing,SAN FRANCISCO-OAK-SAN JOSE,29661,77
477951215,2014-01-25 00:00:00,5313927952159580000,CA,3,testing,SAN FRANCISCO-OAK-SAN JOSE,49049,77
581488653,2014-04-07 00:00:00,3969510617377610000,MD,4,testing,BALTIMORE,11585,79
581858563,2014-04-28 00:00:00,6611833703323480000,GA,5,testing,ATLANTA,170473,82
584605025,2014-09-08 00:00:00,-8437622585569240000,CA,6,testing,SAN FRANCISCO-OAK-SAN JOSE,124881,87
585591333,2014-10-23 00:00:00,-8785855395918310000,TX,7,testing,DALLAS-FT. WORTH,24936,87
582350631,2014-05-27 00:00:00,656548096741880000,CT,8,testing,HARTFORD & NEW HAVEN,135109,91
478156553,2014-02-08 00:00:00,-8287835528176040000,NC,1,testing,RALEIGH-DURHAM (FAYETVLLE),60281,93
477564069,2014-01-01 00:00:00,-7130301775988010000,TX,2,testing,DALLAS-FT. WORTH,118431,87
587439327,2015-01-12 00:00:00,5374801472935160000,CA,3,testing,SAN FRANCISCO-OAK-SAN JOSE,119405,88
477764303,2014-01-13 00:00:00,2511732350309960000,TX,4,testing,AUSTIN,24951,92
586424199,2014-11-27 00:00:00,-616408861463282000,NC,5,testing,CHARLOTTE,112858,95
587827783,2015-01-28 00:00:00,-1701598786658400000,NJ,6,testing,NEW YORK,180750,97
477834017,2014-01-18 00:00:00,-6751139982205590000,TX,7,testing,DALLAS-FT. WORTH,68123,91
584584495,2014-09-06 00:00:00,-594382083887236000,TX,8,testing,AUSTIN,184784,98
583673899,2014-07-30 00:00:00,5182967874882070000,IN,9,testing,FT. WAYNE,568,95
582277643,2014-05-23 00:00:00,-8017561292098800000,CA,1,testing,SAN FRANCISCO-OAK-SAN JOSE,130482,99
478285881,2014-02-16 00:00:00,376449070946944000,CA,2,testing,LOS ANGELES,34304,98
583375751,2014-07-17 00:00:00,-7374730197598120000,NV,3,testing,LAS VEGAS,74578,95
582423655,2014-05-31 00:00:00,914986663539865000,CA,4,testing,LOS ANGELES,106394,105
581901767,2014-05-01 00:00:00,2315319554354800000,CA,5,testing,SAN FRANCISCO-OAK-SAN JOSE,117948,104
584134001,2014-08-19 00:00:00,-1418544518359320000,FL,6,testing,ORLANDO-DAYTONA BCH-MELBRN,123589,99
580279037,2014-03-23 00:00:00,-5815069483645830000,PA,7,testing,PITTSBURGH,175696,106
580270753,2014-03-20 00:00:00,-2052624589827680000,GA,8,testing,ATLANTA,89534,101
